application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11639034,44,2010-11-02,SA..,6,APPL,42,
11639034,45,2010-11-03,FWDX,0,,0,
11639034,46,2010-11-12,CTFR,0,,0,
11639034,47,2010-11-15,MCTFR,0,,0,
11639034,48,2011-01-25,BRCE,0,,0,
11639034,50,2011-01-25,RCEX,0,,0,
11639034,49,2011-01-27,ABN9,0,,0,
11639034,52,2011-01-27,FWDX,0,,0,
11639034,53,2011-02-18,EXIN,0,,0,
11639034,54,2011-02-23,MEXIN,0,,0,
11639034,55,2011-03-22,SA..,0,,0,
11639034,56,2011-04-06,FWDX,0,,0,
11639034,57,2011-12-03,CTNF,0,,0,
11639034,59,2011-12-12,MCTNF,201,PTO,50,
11639034,60,2012-02-21,A...,0,,0,
11639034,61,2012-02-24,FWDX,0,,0,
11639034,62,2012-04-23,CTFR,0,,0,
11639034,64,2012-04-25,MCTFR,0,,0,
11639034,65,2012-07-02,EXIA,0,,0,
11639034,67,2012-07-11,MEXIA,0,,0,
11639034,68,2012-07-24,BRCE,0,,0,
11639034,70,2012-07-24,RCEX,0,,0,
11639034,69,2012-07-25,ABN9,0,,0,
11639034,72,2012-07-25,FWDX,0,,0,
11639034,73,2012-12-12,CTNF,0,,0,
11639034,75,2012-12-14,MCTNF,20,PTO,70,
11639034,76,2013-02-13,A...,0,,0,
11639034,77,2013-02-19,FWDX,0,,0,
11639034,80,2013-05-09,EX.A,0,,0,
11639034,81,2013-05-09,EX.R,0,,0,
11639034,82,2013-05-10,DOCK,0,,0,
11639034,83,2013-05-10,N/=.,0,,0,
11639034,84,2013-05-20,DVER,0,,0,
12847107,1,2010-07-30,IEXX,0,,0,
12847107,2,2010-07-30,SCAN,0,,0,
12847107,3,2010-07-30,WIDS,0,,0,
12847107,14,2010-07-30,M844,0,,0,
12847107,15,2010-07-30,RCAP,0,,0,
12847107,24,2010-07-30,IDSC,0,,0,
12847107,4,2010-08-02,L194,0,,0,
12847107,7,2010-08-06,OATHDECL,0,,0,
12847107,8,2010-08-06,ADDFLFEE,0,,0,
12847107,5,2010-08-10,FLRCPT.O,0,,0,
12847107,6,2010-08-10,INCD,0,,0,
12847107,10,2010-08-10,PGPC,0,,0,
12847107,9,2010-08-11,FLRCPT.U,0,,0,
12847107,11,2010-08-11,COMP,0,,0,
12847107,12,2010-08-17,WIDS,0,,0,
12847107,16,2010-08-17,M844,0,,0,
12847107,17,2010-08-17,RCAP,0,,0,
12847107,23,2010-08-17,IDSC,0,,0,
12847107,13,2010-09-03,OIPE,0,,0,
12847107,18,2011-01-15,DOCK,0,,0,
12847107,19,2011-09-11,DOCK,0,,0,
12847107,20,2012-02-02,PG-ISSUE,0,,0,
12847107,21,2012-04-03,DOCK,0,,0,
12847107,22,2012-06-22,DOCK,0,,0,
12847107,30,2013-01-23,CTNF,0,,0,
12847107,34,2013-02-04,MCTNF,493,PTO,.5,
12847107,35,2013-02-28,WIDS,0,,0,
12847107,36,2013-02-28,M844,0,,0,
12847107,37,2013-02-28,RCAP,0,,0,
12847107,40,2013-02-28,IDSC,0,,0,
12847107,38,2013-04-04,A...,0,,0,
12847107,39,2013-04-05,FWDX,0,,0,
12847107,44,2013-05-15,EXIA,0,,0,
12847107,42,2013-05-17,EX.A,0,,0,
12847107,43,2013-05-17,EX.R,0,,0,
12847107,45,2013-05-21,N/=.,0,,0,
12847107,46,2013-05-21,DVER,0,,0,
12847107,52,2013-05-22,MN/=.,0,,0,
13177275,47,2013-09-24,PTAC,0,,0,
13177275,47.5,2013-09-24,PTA36M,0,PTO,.5,
13259291,1,2011-09-23,IEXX,0,,0,
13259291,2,2011-09-23,L194,0,,0,
13259291,3,2011-09-23,WIDS,0,,0,
13259291,4,2011-09-23,WIDS,0,,0,
13259291,8,2011-09-23,371COMP,0,,0,
13259291,10,2011-09-23,A.PE,0,,0,
13259291,11,2011-09-23,M844,0,,0,
13259291,12,2011-09-23,RCAP,0,,0,
13259291,13,2011-09-23,RQPR,0,,0,
12825730,47,2012-03-14,IDSC,0,,0,
12825730,48,2012-06-12,CTFR,0,,0,
12825730,50,2012-06-15,MCTFR,0,,0,
12825730,51,2012-06-15,EML_NTF,0,,0,
12825730,52,2012-06-15,ELC_RVW,0,,0,
12825730,53,2012-10-12,BRCE,0,,0,
12825730,54,2012-10-12,XT/G,0,,0,
12825730,56,2012-10-12,RCEX,27,APPL,50,
12825730,55,2012-10-15,ABN9,0,,0,
12825730,58,2012-10-15,FWDX,0,,0,
12825730,59,2013-01-27,CTNF,0,,0,
12825730,61,2013-02-01,MCTNF,0,,0,
12825730,62,2013-02-01,EML_NTF,0,,0,
12825730,63,2013-02-01,ELC_RVW,0,,0,
12825730,64,2013-05-01,A...,0,,0,
12825730,65,2013-05-04,FWDX,0,,0,
12825730,66,2013-05-07,EXET,0,,0,
12825730,67,2013-05-07,EXIE,0,,0,
12825730,77,2013-05-07,EXIE,0,,0,
12825730,70,2013-05-14,MEXET,0,,0,
12825730,71,2013-05-14,EML_NTR,0,,0,
12825730,72,2013-05-20,DIST,19,APPL,64,
12825730,73,2013-05-20,P574,0,,0,
12825730,75,2013-05-28,EX.A,0,,0,
12825730,76,2013-05-28,EX.R,0,,0,
12825730,78,2013-05-30,N/=.,0,,0,
12825730,79,2013-05-30,DVER,0,,0,
12825730,85,2013-06-03,MN/=.,0,,0,
12825730,.5,2010-06-29,EFILE,0,,0,
12825730,90,2013-08-01,REAS,0,,0,
12825730,91,2013-08-26,IFEE,0,,0,
12825730,92,2013-08-26,N084,0,,0,
12825730,93,2013-08-28,PILS,0,,0,
12850739,1,2010-08-05,IEXX,0,,0,
12850739,2,2010-08-05,SCAN,0,,0,
12850739,3,2010-08-05,L194,0,,0,
12850739,4,2010-08-18,FLRCPT.O,0,,0,
12850739,5,2010-08-18,INCD,0,,0,
12850739,6,2010-08-18,EML_NTF,0,,0,
12850739,7,2010-08-18,EML_NTR,0,,0,
12850739,8,2010-08-18,ELC_RVW,0,,0,
12850739,21,2010-08-20,A.PE,0,,0,
12850739,9,2010-08-25,WIDS,0,,0,
12850739,12,2010-08-25,OATHDECL,0,,0,
12850739,13,2010-08-25,ADDFLFEE,0,,0,
12850739,22,2010-08-25,M844,0,,0,
12850739,23,2010-08-25,RCAP,0,,0,
12850739,49,2010-08-25,IDSC,0,,0,
12850739,10,2010-08-30,FLRCPT.C,0,,0,
12850739,11,2010-08-30,EML_NTR,0,,0,
12850739,15,2010-09-13,PGPC,0,,0,
12850739,14,2010-09-14,FLRCPT.U,0,,0,
12850739,16,2010-09-14,PA..,0,,0,
12850739,17,2010-09-14,EML_NTR,0,,0,
12850739,18,2010-09-14,EML_NTR,0,,0,
12850739,19,2010-09-14,COMP,0,,0,
12850739,20,2010-10-06,OIPE,0,,0,
12850739,24,2010-10-12,DOCK,0,,0,
12850739,25,2010-10-22,WIDS,0,,0,
12850739,26,2010-10-22,M844,0,,0,
12850739,48,2010-10-22,IDSC,0,,0,
12850739,27,2010-11-03,DOCK,0,,0,
12850739,28,2010-11-18,DOCK,0,,0,
12850739,29,2011-02-17,PG-ISSUE,0,,0,
12850739,30,2011-02-18,EML_NTR,0,,0,
12850739,31,2011-10-27,WIDS,0,,0,
12850739,32,2011-10-27,WIDS,0,,0,
12850739,33,2011-10-27,M844,0,,0,
12850739,34,2011-10-27,RCAP,0,,0,
12850739,46,2011-10-27,IDSC,0,,0,
12850739,47,2011-10-27,IDSC,0,,0,
12850739,35,2012-02-14,DOCK,0,,0,
12850739,36,2012-02-23,TI1050,0,,0,
12850739,37,2012-02-23,DOCK,0,,0,
12850739,38,2012-03-27,M844,0,,0,
12850739,39,2012-03-27,RCAP,0,,0,
12850739,40,2012-03-27,WIDS,0,,0,
12160761,66,2013-06-13,EX.A,0,,0,
12160761,67,2013-06-13,EX.R,0,,0,
12160761,68,2013-06-13,EXIE,0,,0,
12160761,69,2013-06-17,DOCK,0,,0,
12160761,70,2013-06-17,N/=.,0,,0,
12160761,71,2013-06-17,DVER,0,,0,
12160761,77,2013-06-21,MN/=.,414,PTO,62,
12160761,.5,2007-01-15,NEFILE,0,,0,
12160761,82,2013-08-16,IFEE,0,,0,
12160761,83,2013-08-16,N084,0,,0,
12160761,84,2013-08-20,PILS,0,,0,
12160761,85,2013-08-20,D1935,0,,0,
12160761,87,2013-09-24,PTAC,0,,0,
12160761,87.5,2012-01-02,PTA36M,172,PTO,87.4,
12160761,87.4,2008-07-14,COMMN,0,,0,
13411416,1,2012-03-02,IEXX,0,,0,
13411416,2,2012-03-02,SCAN,0,,0,
13411416,18,2012-03-02,A.PE,0,,0,
13411416,3,2012-03-07,L194,0,,0,
13411416,4,2012-03-26,INCD,0,,0,
13411416,5,2012-03-26,FLRCPT.O,0,,0,
13411416,7,2012-05-23,CORRSPEC,0,,0,
13411416,8,2012-05-23,OATHDECL,0,,0,
13411416,9,2012-05-23,CRFL,0,,0,
13411416,10,2012-05-23,SEQLIST,0,,0,
12992417,53,2013-05-13,EXIE,0,,0,
12992417,54,2013-05-14,N/=.,0,,0,
12992417,55,2013-05-15,DVER,0,,0,
12992417,61,2013-05-20,MN/=.,0,,0,
12992417,.5,2009-05-12,NEFILE,0,,0,
12992417,66,2013-07-05,EML_NTR,0,,0,
12992417,65,2013-07-05,FLRCPT.C,0,,0,
12992417,68,2013-08-19,IFEE,0,,0,
12992417,69,2013-08-19,N084,0,,0,
12992417,71,2013-08-20,D1935,0,,0,
12992417,70,2013-08-20,PILS,0,,0,
12992417,73,2013-09-24,PTAC,0,,0,
12992417,73.5,2013-09-24,PTA36M,0,PTO,73.4,
12992417,73.4,2010-11-12,COMMN,0,,0,
13486464,1,2012-06-01,IEXX,0,,0,
13486464,2,2012-06-01,SCAN,0,,0,
13486464,20,2012-06-01,A.PE,0,,0,
13486464,3,2012-06-05,L194,0,,0,
13486464,4,2012-06-15,FLRCPT.O,0,,0,
13486464,5,2012-06-15,INCD,0,,0,
13486464,7,2012-08-15,CORRDRW,0,,0,
13486464,8,2012-08-15,ADDFLFEE,0,,0,
13486464,9,2012-08-23,INCR,0,,0,
13486464,10,2012-08-23,PA..,0,,0,
13486464,11,2012-09-14,CORRDRW,0,,0,
13486464,12,2012-09-14,OATHDECL,0,,0,
13486464,13,2012-09-14,ADDFLFEE,0,,0,
13486464,14,2012-09-24,FLRCPT.U,0,,0,
13486464,15,2012-09-24,OIPE,0,,0,
13486464,16,2012-09-24,COMP,0,,0,
13486464,17,2012-09-28,DOCK,0,,0,
13486464,21,2012-10-01,A.PE,0,,0,
13486464,23,2012-10-17,CTNF,0,,0,
13486464,25,2012-10-18,MCTNF,0,,0,
13486464,26,2012-10-19,A.PE,0,,0,
13486464,27,2013-01-03,PG-ISSUE,0,,0,
13486464,28,2013-01-18,A...,0,,0,
13486464,30,2013-01-18,AF/D,0,,0,
13084318,3,2011-04-12,L194,0,,0,
13084318,6,2011-04-21,OIPE,0,,0,
13084318,5,2011-04-22,FLRCPT.O,0,,0,
13084318,7,2011-04-22,EML_NTR,0,,0,
13084318,8,2011-04-22,COMP,0,,0,
13084318,9,2011-04-26,DOCK,0,,0,
13084318,11,2011-07-11,WIDS,0,,0,
13084318,16,2011-07-11,EIDS.,0,,0,
13084318,25,2011-07-11,IDSC,0,,0,
13084318,12,2011-07-15,DOCK,0,,0,
13084318,13,2011-07-28,PG-ISSUE,0,,0,
13084318,14,2011-07-28,DOCK,0,,0,
13084318,15,2011-07-29,EML_NTR,0,,0,
13084318,17,2012-04-10,CTRS,0,,0,
13084318,19,2012-04-18,MCTRS,0,,0,
13084318,20,2012-04-18,EML_NTF,0,,0,
13084318,21,2012-04-18,ELC_RVW,0,,0,
13084318,22,2012-05-04,ELC.,0,,0,
13084318,23,2012-05-08,FWDX,0,,0,
13084318,29,2012-10-01,CTNF,0,,0,
13084318,31,2012-10-10,MCTNF,36,PTO,22,
13084318,32,2012-10-10,EML_NTF,0,,0,
13084318,33,2012-10-10,ELC_RVW,0,,0,
13084318,34,2013-01-10,A...,0,,0,
13084318,35,2013-01-14,FWDX,0,,0,
13084318,38,2013-03-04,CTFR,0,,0,
13084318,40,2013-03-11,MCTFR,0,,0,
13084318,41,2013-03-11,EML_NTF,0,,0,
13084318,42,2013-03-11,ELC_RVW,0,,0,
13084318,43,2013-04-05,DIST,0,,0,
13084318,44,2013-04-08,P575,0,,0,
13084318,45,2013-05-09,A.NE,0,,0,
13084318,47,2013-05-09,DIST,0,APPL,45,
13084318,46,2013-05-10,FWDX,0,,0,
13084318,48,2013-05-13,P574,0,,0,
13084318,51,2013-05-17,PA..,0,,0,
13084318,52,2013-05-17,EML_NTR,0,,0,
13084318,54,2013-05-17,EX.A,0,,0,
13084318,55,2013-05-17,EX.R,0,,0,
13084318,56,2013-05-20,N/=.,0,,0,
13084318,57,2013-05-20,DVER,0,,0,
13290693,1,2011-11-07,IEXX,0,,0,
13290693,2,2011-11-07,SCAN,0,,0,
13290693,4,2011-11-07,WIDS,0,,0,
13290693,5,2011-11-07,PDREQUST,0,,0,
13290693,18,2011-11-07,RQPR,0,,0,
13290693,33,2011-11-07,IDSC,0,,0,
13290693,3,2011-11-08,L194,0,,0,
13290693,6,2011-11-21,FLRCPT.O,0,,0,
13290693,7,2011-11-21,CPAP,0,,0,
13290693,8,2011-11-21,EML_NTR,0,,0,
13290693,9,2011-11-21,EML_NTF,0,,0,
13290693,10,2011-11-21,ELC_RVW,0,,0,
13290693,11,2012-01-23,CORRSPEC,0,,0,
13290693,12,2012-01-23,ADDFLFEE,0,,0,
13290693,19,2012-01-23,A.PE,0,,0,
13290693,14,2012-01-31,PGPC,0,,0,
13290693,13,2012-02-01,FLRCPT.U,0,,0,
13290693,15,2012-02-01,EML_NTR,0,,0,
13290693,16,2012-02-01,COMP,0,,0,
13290693,17,2012-02-22,OIPE,0,,0,
13290693,20,2012-03-21,DOCK,0,,0,
13290693,21,2012-05-10,PG-ISSUE,0,,0,
13290693,22,2012-05-11,EML_NTR,0,,0,
13290693,23,2012-06-25,DOCK,0,,0,
13290693,24,2013-02-22,CTRS,0,,0,
13290693,26,2013-03-01,MCTRS,53,PTO,.5,
13290693,27,2013-03-01,EML_NTF,0,,0,
13290693,28,2013-03-01,ELC_RVW,0,,0,
13290693,29,2013-04-01,ELC.,0,,0,
13290693,30,2013-04-03,FWDX,0,,0,
13290693,35,2013-05-17,EX.A,0,,0,
13290693,36,2013-05-21,DVER,0,,0,
13290693,37,2013-05-21,N/=.,0,,0,
13290693,41,2013-05-24,MN/=.,0,,0,
13290693,.5,2011-11-07,EFILE,0,,0,
13290693,45,2013-06-12,RQPR,14,APPL,47,
13290693,46,2013-06-21,P327-P,0,,0,
13290693,49,2013-06-25,EML_NTR,0,,0,
13290693,47,2013-06-25,MP327-P,0,,0,
13290693,50,2013-08-23,IFEE,0,,0,
13290693,51,2013-08-23,N084,0,,0,
13290693,52,2013-08-26,PILS,0,,0,
13290693,53,2013-08-27,D1935,0,,0,
13290693,55,2013-09-24,PTAC,0,,0,
13290693,55.5,2013-09-24,PTA36M,0,PTO,.5,
13548632,22,2012-10-23,OIPE,0,,0,
13548632,25,2013-01-08,DOCK,0,,0,
13548632,26,2013-01-24,PG-ISSUE,0,,0,
13548632,27,2013-01-25,EML_NTR,0,,0,
13548632,34,2013-05-06,EX.R,0,,0,
13548632,35,2013-05-21,N/=.,0,,0,
13548632,36,2013-05-21,DVER,0,,0,
13548632,40,2013-05-24,MN/=.,0,,0,
13548632,.5,2012-07-13,EFILE,0,,0,
13548632,45,2013-08-22,IFEE,0,,0,
13548632,46,2013-08-22,N084,0,,0,
13548632,47,2013-08-26,PILS,0,,0,
13548632,48,2013-08-26,D1935,0,,0,
13548632,50,2013-09-24,PTAC,0,,0,
13548632,50.5,2013-09-24,PTA36M,0,PTO,.5,
12383954,75,2013-08-21,IFEE,0,,0,
12383954,76,2013-08-21,N084,0,,0,
12383954,77,2013-08-22,C.AD,0,,0,
12383954,78,2013-08-22,PILS,0,,0,
12383954,79,2013-08-23,D1935,0,,0,
12383954,81,2013-09-24,PTAC,0,,0,
12383954,81.5,2013-04-04,PTA36M,370,PTO,.5,
12383954,25,2012-05-23,MCTNF,54,,.5,
13252090,1,2011-10-03,IEXX,0,,0,
13252090,2,2011-10-03,WIDS,0,,0,
13252090,15,2011-10-03,DRAWING,0,,0,
13252090,32,2011-10-03,IDSC,0,,0,
13252090,3,2011-10-04,SCAN,0,,0,
13252090,4,2011-10-05,L194,0,,0,
13252090,5,2011-10-19,INC/,0,,0,
13252090,6,2011-12-19,PET.,0,,0,
13252090,7,2012-01-31,PTDI,0,,0,
13252090,8,2012-01-31,MPTDI,0,,0,
13252090,9,2012-03-20,PET.,0,,0,
13252090,14,2012-03-20,ADDFLFEE,61,APPL,5,
13252090,10,2012-03-27,PTGR,0,,0,
12829416,110,2013-07-18,MN/=.,0,,0,
12829416,.5,2010-07-02,EFILE,0,,0,
12829416,116,2013-08-20,N084,0,,0,
12829416,115,2013-08-20,IFEE,0,,0,
12829416,117,2013-08-22,PILS,0,,0,
12829416,118,2013-08-22,D1935,0,,0,
12829416,120,2013-09-24,PTAC,0,,0,
12829416,120.5,2013-01-03,PTA36M,0,PTO,.5,
12702560,2,2010-02-09,SCAN,0,,0,
12702560,3,2010-02-11,WIDS,0,,0,
12702560,4,2010-02-11,WIDS,0,,0,
12702560,14,2010-02-11,M844,0,,0,
12702560,15,2010-02-11,RCAP,0,,0,
12702560,19,2010-02-11,IDSC,0,,0,
12702560,20,2010-02-11,IDSC,0,,0,
12702560,5,2010-02-16,L194,0,,0,
12702560,6,2010-02-25,FLRCPT.O,0,,0,
12702560,7,2010-02-25,INCD,0,,0,
12702560,8,2010-03-30,APPERMS,0,,0,
12702560,9,2010-03-30,OATHDECL,0,,0,
12702560,10,2010-03-30,ADDFLFEE,0,,0,
12702560,11,2010-04-07,FLRCPT.U,0,,0,
12702560,12,2010-04-07,PGPC,0,,0,
12702560,13,2010-04-14,OIPE,0,,0,
12702560,16,2011-06-18,DOCK,0,,0,
12702560,17,2011-07-18,DOCK,0,,0,
12702560,18,2011-08-11,PG-ISSUE,0,,0,
12702560,24,2012-01-17,CTNF,0,,0,
12702560,26,2012-01-19,MCTNF,285,PTO,.5,
12702560,27,2012-06-04,XT/G,0,,0,
12702560,28,2012-06-04,A...,46,APPL,26,
12702560,29,2012-06-06,FWDX,0,,0,
12702560,31,2012-09-05,EXIE,0,,0,
12702560,30,2012-09-10,CTNF,0,,0,
12702560,34,2012-09-12,MCTNF,0,,0,
12702560,35,2013-02-12,XT/G,0,,0,
12702560,36,2013-02-12,A...,62,APPL,34,
12702560,37,2013-02-14,FWDX,0,,0,
12702560,39,2013-04-12,EXIE,0,,0,
12702560,38,2013-04-15,CTFR,0,,0,
12702560,42,2013-04-16,MCTFR,0,,0,
12702560,43,2013-06-17,A.NE,0,,0,
12702560,44,2013-06-20,FWDX,0,,0,
12702560,45,2013-06-24,CTAV,0,,0,
12702560,47,2013-06-28,MCTAV,0,,0,
12702560,48,2013-06-28,EML_NTR,0,,0,
12702560,49,2013-07-03,BRCE,0,,0,
12702560,51,2013-07-03,RCEX,0,,0,
12003963,86,2013-05-20,N/=.,0,,0,
12003963,87,2013-05-20,DVER,0,,0,
12003963,96,2013-05-22,MN/=.,0,,0,
12003963,.5,2008-01-03,EFILE,0,,0,
12003963,99,2013-08-20,IFEE,0,,0,
12003963,100,2013-08-20,N084,0,,0,
12003963,101,2013-08-20,REAS,0,,0,
12003963,102,2013-08-21,PILS,0,,0,
12003963,103,2013-08-21,D1935,0,,0,
12003963,105,2013-09-24,PTAC,0,,0,
12003963,105.5,2011-03-06,PTA36M,62,PTO,.5,
13126459,11,2011-09-27,FLRCPT.O,0,,0,
13126459,14,2011-09-27,EML_NTR,0,,0,
13126459,15,2011-09-27,EML_NTR,0,,0,
13126459,16,2011-10-13,OIPE,0,,0,
13126459,19,2012-01-05,PG-ISSUE,0,,0,
13126459,20,2012-01-06,EML_NTR,0,,0,
13126459,21,2012-03-19,WIDS,0,,0,
13126459,22,2012-03-19,M844,0,,0,
13126459,23,2012-03-19,RCAP,0,,0,
13126459,30,2012-03-19,IDSC,0,,0,
13126459,24,2012-06-02,DOCK,0,,0,
13126459,25,2012-08-10,DOCK,0,,0,
13126459,31,2012-08-26,CTNF,0,,0,
13126459,33,2012-08-30,MCTNF,0,,0,
13126459,34,2012-08-30,EML_NTF,0,,0,
13126459,35,2012-09-04,ELC_RVW,0,,0,
13126459,36,2012-12-04,EXAT,0,,0,
13126459,37,2012-12-04,EXIA,0,,0,
13126459,40,2012-12-11,MEXAT,0,,0,
13126459,41,2012-12-26,XT/G,0,,0,
13126459,42,2012-12-26,A...,26,APPL,33,
13126459,43,2013-01-13,FWDX,0,,0,
13126459,44,2013-02-22,CTFR,0,,0,
13126459,46,2013-02-28,MCTFR,0,,0,
13126459,47,2013-02-28,EML_NTF,0,,0,
13126459,48,2013-02-28,ELC_RVW,0,,0,
13126459,49,2013-05-17,A.NE,0,,0,
13126459,50,2013-05-21,FWDX,0,,0,
13126459,52,2013-06-04,EX.R,0,,0,
13126459,53,2013-06-06,DVER,0,,0,
13126459,55,2013-06-06,N/=.,0,,0,
13126459,58,2013-06-10,MN/=.,0,,0,
13126459,.5,2009-10-28,NEFILE,0,,0,
13126459,63,2013-08-20,IFEE,0,,0,
13126459,64,2013-08-20,N084,0,,0,
13126459,66,2013-08-20,REAS,0,,0,
11903463,1,2007-09-24,IEXX,0,,0,
11903463,2,2007-09-29,SCAN,0,,0,
11903463,3,2007-10-02,L194,0,,0,
11903463,4,2007-10-11,INCD,0,,0,
11903463,5,2007-11-01,OATHDECL,0,,0,
11903463,6,2007-11-01,ADDFLFEE,0,,0,
11903463,7,2007-12-26,WIDS,0,,0,
11903463,12,2007-12-26,M844,0,,0,
11903463,13,2007-12-26,RCAP,0,,0,
11903463,20,2007-12-26,IDSC,0,,0,
11903463,8,2008-01-30,COMP,0,,0,
11903463,9,2008-01-30,FLRCPT.U,0,,0,
11903463,10,2008-01-30,OIPE,0,,0,
11903463,11,2008-02-14,PG-ISSUE,0,,0,
11903463,14,2008-07-14,TSSCOMP,0,,0,
11903463,15,2008-10-28,DOCK,0,,0,
11903463,16,2009-01-22,DOCK,0,,0,
11903463,21,2009-03-30,CTNF,0,,0,
11903463,22,2009-04-01,MCTNF,131,PTO,.5,
11903463,23,2009-04-14,DOCK,0,,0,
12766801,1,2010-04-23,IEXX,0,,0,
12766801,2,2010-04-24,SCAN,0,,0,
12766801,3,2010-04-27,L194,0,,0,
12766801,4,2010-04-27,WIDS,0,,0,
12766801,18,2010-04-27,M844,0,,0,
12766801,19,2010-04-27,RCAP,0,,0,
12766801,31,2010-04-27,IDSC,0,,0,
12766801,5,2010-05-19,INCD,0,,0,
12766801,6,2010-05-19,FLRCPT.O,0,,0,
12766801,7,2010-08-18,CORRDRW,0,,0,
12766801,8,2010-08-18,OATHDECL,0,,0,
12766801,10,2010-08-18,APPERMS,0,,0,
12766801,11,2010-08-18,FLFEE,0,,0,
12766801,12,2010-08-30,PA..,0,,0,
12766801,13,2010-08-30,FLRCPT.U,0,,0,
12766801,14,2010-08-30,PGPC,0,,0,
12766801,15,2010-08-30,COMP,0,,0,
12766801,16,2010-09-22,OIPE,0,,0,
12766801,17,2010-10-07,WIDS,0,,0,
12766801,20,2010-10-07,M844,0,,0,
12766801,21,2010-10-07,RCAP,0,,0,
12766801,30,2010-10-07,IDSC,0,,0,
12766801,22,2011-09-14,DOCK,0,,0,
12766801,23,2011-10-27,PG-ISSUE,0,,0,
11639034,89,2013-05-21,MN/=.,0,,0,
11639034,.5,2006-12-14,EFILE,0,,0,
11639034,93,2013-07-17,N084,0,,0,
11639034,92,2013-07-17,IFEE,0,,0,
11639034,94,2013-07-19,PILS,0,,0,
11639034,95,2013-07-19,D1935,0,,0,
11639034,96,2013-08-23,D1935,0,,0,
11639034,98,2013-09-24,PTAC,0,,0,
11639034,98.5,2010-04-12,PTA36M,119,PTO,.5,
12389253,1,2009-02-19,IEXX,0,,0,
12389253,4,2009-02-19,WIDS,0,,0,
12389253,19,2009-02-19,RCAP,0,,0,
12389253,20,2009-02-19,M844,0,,0,
12389253,41,2009-02-19,IDSC,0,,0,
12389253,3,2009-02-23,SCAN,0,,0,
12389253,5,2009-02-25,L194,0,,0,
12389253,6,2009-03-11,INCD,0,,0,
12389253,7,2009-03-11,FLRCPT.O,0,,0,
12389253,8,2009-03-11,EML_NTF,0,,0,
12389253,9,2009-03-11,EML_NTR,0,,0,
12389253,10,2009-03-11,ELC_RVW,0,,0,
12389253,11,2009-04-21,OATHDECL,0,,0,
12389253,12,2009-04-21,FLFEE,0,,0,
12389253,14,2009-04-29,PGPC,0,,0,
12389253,13,2009-04-30,FLRCPT.U,0,,0,
12389253,15,2009-04-30,EML_NTR,0,,0,
12389253,16,2009-05-14,OIPE,0,,0,
12389253,17,2009-06-08,PA..,0,,0,
12389253,18,2009-06-08,EML_NTR,0,,0,
12389253,21,2009-06-17,TSSCOMP,0,,0,
12389253,22,2010-02-11,LET.,0,,0,
12389253,24,2010-04-21,WIDS,0,,0,
12389253,26,2010-04-21,M844,0,,0,
12389253,27,2010-04-21,RCAP,0,,0,
12389253,42,2010-04-21,IDSC,0,,0,
12389253,28,2010-06-03,DOCK,0,,0,
12389253,29,2010-08-19,PG-ISSUE,0,,0,
12389253,30,2010-08-20,EML_NTR,0,,0,
12389253,31,2010-10-06,DOCK,0,,0,
12389253,32,2011-03-07,DOCK,0,,0,
12389253,34,2011-03-15,WIDS,0,,0,
12389253,35,2011-03-15,M844,0,,0,
12389253,36,2011-03-15,RCAP,0,,0,
12847107,.5,2010-07-30,EFILE,0,,0,
12847107,54,2013-07-23,IFEE,0,,0,
12847107,55,2013-07-23,N084,0,,0,
12847107,56,2013-07-24,PILS,0,,0,
12847107,57,2013-08-21,FLRCPT.C,0,,0,
12847107,58,2013-08-21,EML_NTR,0,,0,
12847107,59,2013-08-26,D1935,0,,0,
12847107,62,2013-09-24,PTAC,0,,0,
12847107,62.5,2013-09-24,PTA36M,56,PTO,.5,
13464264,1,2012-05-04,IEXX,0,,0,
13464264,2,2012-05-04,SCAN,0,,0,
13464264,3,2012-05-04,WIDS,0,,0,
13464264,10,2012-05-04,M844,0,,0,
13464264,11,2012-05-04,RCAP,0,,0,
13464264,16,2012-05-04,IDSC,0,,0,
13464264,4,2012-05-09,L194,0,,0,
13464264,6,2012-05-18,OIPE,0,,0,
13464264,5,2012-05-21,FLRCPT.O,0,,0,
13464264,7,2012-05-21,EML_NTR,0,,0,
13464264,8,2012-05-21,COMP,0,,0,
13464264,9,2012-05-23,DOCK,0,,0,
13464264,13,2012-08-03,C.AD,0,,0,
13464264,14,2012-08-07,PA..,0,,0,
13464264,15,2012-08-07,EML_NTR,0,,0,
13464264,17,2012-08-19,CTNF,0,,0,
13464264,19,2012-08-23,MCTNF,0,,0,
13464264,20,2012-08-23,EML_NTF,0,,0,
13464264,21,2012-08-24,ELC_RVW,0,,0,
13464264,22,2012-08-30,PG-ISSUE,0,,0,
13464264,23,2012-08-31,EML_NTR,0,,0,
13464264,24,2012-11-06,A...,0,,0,
13464264,25,2012-11-08,FWDX,0,,0,
13464264,26,2013-02-19,CTNF,0,,0,
13464264,28,2013-02-26,MCTNF,0,,0,
13464264,29,2013-02-26,EML_NTF,0,,0,
13464264,30,2013-02-26,ELC_RVW,0,,0,
13464264,31,2013-06-25,XT/G,0,,0,
13464264,32,2013-06-25,A...,30,APPL,28,
13464264,33,2013-07-09,FWDX,0,,0,
13464264,38,2013-07-24,EX.R,0,,0,
